shipment_id,warehouse_id,shipment_mode,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,delivery_status,order_id
1,D,Flight,4,2,177,3,low,F,44,1233,On Time,496651
2,F,Flight,4,5,216,2,low,M,59,3088,On Time,489814
3,A,Flight,2,2,183,4,low,M,48,3374,On Time,531439
4,B,Flight,3,3,176,4,medium,M,10,1177,On Time,535485
5,C,Flight,2,2,184,3,medium,F,46,2484,On Time,522467
6,F,Flight,3,1,162,3,medium,F,12,1417,On Time,564360
7,D,Flight,3,4,250,3,low,F,3,2371,On Time,574700
8,F,Flight,4,1,233,2,low,F,48,2804,On Time,570177
9,A,Flight,3,4,150,3,low,F,11,1861,On Time,536796
10,B,Flight,3,2,164,3,medium,F,29,1187,On Time,538071
11,C,Flight,3,4,189,2,medium,M,12,2888,On Time,528271
12,F,Flight,4,5,232,3,medium,F,32,3253,On Time,538104
13,D,Flight,3,5,198,3,medium,F,1,3667,On Time,541485
14,F,Flight,4,4,275,3,high,M,29,2602,On Time,578781
15,A,Flight,4,3,152,3,low,M,43,1009,On Time,552826
16,B,Flight,4,3,227,3,low,F,45,2707,On Time,528613
17,C,Flight,3,4,143,2,medium,F,6,1194,On Time,574915
18,F,Ship,5,5,227,3,medium,M,36,3952,On Time,540681
19,D,Ship,5,5,239,3,high,M,18,2495,On Time,522437
20,F,Ship,4,5,145,3,medium,M,45,1059,On Time,556910
21,A,Ship,3,3,161,2,medium,F,38,1521,On Time,539498
22,B,Ship,3,1,232,4,medium,F,51,2899,On Time,494778
23,C,Ship,2,5,156,2,low,M,2,1750,On Time,508643
24,F,Ship,4,3,211,3,high,M,12,3922,On Time,571229
25,D,Ship,4,5,251,2,medium,F,28,3561,On Time,504552
26,F,Ship,3,1,225,4,low,M,29,3496,On Time,514496
27,A,Ship,4,1,172,3,high,F,24,1066,On Time,559553
28,B,Ship,5,1,162,3,medium,M,31,1435,On Time,515114
29,C,Ship,2,3,234,4,low,M,44,3134,On Time,570806
30,F,Ship,5,4,183,2,low,F,36,3819,On Time,541987
31,D,Ship,3,4,266,2,medium,F,38,2741,On Time,507233
32,F,Ship,5,3,257,2,low,F,61,3341,On Time,578041
33,A,Ship,3,1,223,3,low,F,22,3795,On Time,550311
34,B,Ship,4,2,234,3,medium,M,4,3261,On Time,560926
35,C,Ship,4,2,227,4,medium,F,22,2460,On Time,544037
36,F,Ship,5,4,149,3,medium,F,44,1811,On Time,564972
37,D,Ship,3,5,137,4,high,F,62,1477,On Time,540015
38,F,Ship,2,4,181,6,medium,F,16,3605,On Time,502244
39,A,Ship,5,1,215,4,low,F,56,3905,On Time,512949
40,B,Ship,4,2,269,5,low,F,45,2383,On Time,494382
41,C,Ship,5,1,227,2,low,M,15,3798,On Time,534750
42,F,Ship,5,5,139,4,medium,M,61,1265,On Time,569555
43,D,Ship,3,5,137,2,medium,M,38,1647,On Time,538814
44,F,Ship,3,1,174,2,low,M,44,1556,On Time,504668
45,A,Ship,3,1,151,2,low,M,29,1328,On Time,502108
46,B,Ship,5,1,210,3,low,F,9,2944,On Time,579002
47,C,Ship,3,4,169,4,medium,F,32,1245,On Time,577606
48,F,Ship,5,1,160,2,low,M,32,1576,On Time,543935
49,D,Ship,5,4,190,2,medium,M,9,3753,On Time,521202
50,F,Ship,5,3,216,3,low,F,40,2146,On Time,561217
51,A,Ship,4,1,183,3,low,M,37,2042,On Time,508500
52,B,Ship,4,4,141,3,low,M,22,1735,On Time,512920
53,C,Ship,4,3,165,3,low,F,44,1320,On Time,577536
54,F,Ship,2,1,170,3,low,M,41,1128,On Time,563557
55,D,Ship,4,3,203,3,high,M,12,3539,On Time,495912
56,F,Ship,2,5,246,5,low,M,46,2437,On Time,513263
57,A,Ship,3,3,238,3,low,F,61,3096,On Time,491155
58,B,Ship,3,3,193,3,medium,F,29,3453,On Time,579196
59,C,Ship,5,5,141,3,high,M,41,1367,On Time,564754
60,F,Ship,4,1,150,3,high,F,17,1923,On Time,551655
61,D,Ship,3,1,221,3,low,F,64,2794,On Time,523344
62,F,Ship,3,3,179,3,medium,M,52,1158,On Time,536876
63,A,Ship,5,1,105,6,medium,M,62,1292,On Time,553833
64,B,Ship,3,1,177,3,medium,M,61,1880,On Time,578633
65,C,Ship,4,5,261,2,high,M,49,3045,On Time,532905
66,F,Ship,3,2,202,3,low,M,49,2881,On Time,518509
67,D,Ship,3,2,109,3,medium,F,15,1710,On Time,575368
68,F,Ship,3,3,158,3,low,F,6,1878,On Time,504697
69,A,Ship,4,2,231,4,medium,F,6,2512,On Time,C543637
70,B,Ship,3,5,206,3,medium,M,39,2929,On Time,549295
71,C,Ship,5,1,187,4,high,M,14,3849,On Time,536607
72,F,Ship,5,5,230,2,low,F,2,2229,On Time,520538
73,D,Ship,5,5,232,3,medium,F,33,2998,On Time,533143
74,F,Ship,4,5,215,3,medium,F,21,3984,On Time,528629
75,A,Ship,6,1,238,6,low,F,13,2442,On Time,568057
76,B,Ship,4,1,266,3,low,F,23,3775,On Time,521202
77,C,Ship,2,3,158,2,medium,F,36,1788,On Time,537823
78,F,Ship,3,3,113,3,low,F,43,1518,On Time,508193
79,D,Ship,3,4,223,3,low,M,18,3959,On Time,537047
80,F,Ship,3,5,257,2,medium,F,56,3711,On Time,490937
81,A,Ship,3,4,180,2,medium,F,49,1942,On Time,573773
82,B,Ship,2,5,132,3,low,M,18,1759,On Time,536796
83,C,Ship,4,4,217,3,high,F,26,2875,On Time,558809
84,F,Ship,5,5,162,3,high,F,31,1364,On Time,499789
85,D,Ship,4,5,197,2,medium,F,40,2710,On Time,505085
86,F,Ship,3,4,197,3,medium,M,13,2148,On Time,556484
87,A,Ship,4,1,185,2,low,M,44,2910,On Time,526109
88,B,Ship,6,2,278,3,medium,F,3,2974,On Time,554323
89,C,Ship,3,3,229,3,low,M,49,2339,On Time,581405
90,F,Ship,4,1,186,4,medium,F,57,3880,On Time,498416
91,D,Ship,5,3,174,6,high,F,41,1085,On Time,530571
92,F,Ship,5,5,286,3,low,F,18,3163,On Time,523425
93,A,Ship,4,4,175,2,medium,F,7,1188,On Time,570871
94,B,Ship,3,3,219,3,medium,F,17,3387,On Time,501862
95,C,Ship,4,1,213,4,high,F,35,2343,On Time,569633
96,F,Ship,2,3,235,3,low,M,57,2034,On Time,522121
97,D,Ship,3,3,149,2,medium,M,18,1225,On Time,560635
98,F,Ship,4,1,271,2,medium,F,8,2401,On Time,511651
99,A,Ship,3,5,144,4,medium,M,5,1104,On Time,580723
100,B,Ship,4,2,145,2,medium,M,21,1617,On Time,520390
101,C,Ship,5,3,143,2,medium,M,59,1837,On Time,524185
102,F,Ship,5,5,227,4,low,M,53,2624,On Time,496866
103,D,Ship,2,1,213,3,low,M,29,2732,On Time,512710
104,F,Ship,5,1,144,4,low,M,37,1658,On Time,573420
105,A,Ship,3,3,218,3,low,M,3,2255,On Time,537638
106,B,Ship,4,2,144,3,medium,M,59,1588,On Time,496341
107,C,Ship,3,1,238,3,low,M,17,2624,On Time,493719
108,F,Ship,4,5,216,3,high,M,26,2053,On Time,581453
109,D,Ship,4,5,238,3,high,F,55,3257,On Time,C559347
110,F,Ship,4,1,141,3,medium,M,47,1250,On Time,552843
111,A,Road,3,1,158,2,low,M,2,1284,On Time,579508
112,B,Road,4,2,239,3,low,F,65,3679,On Time,543345
113,C,Road,4,3,175,2,low,M,25,1816,On Time,561090
114,F,Road,3,2,263,3,low,M,41,2817,On Time,490667
115,D,Road,3,5,168,2,high,M,50,1616,On Time,541012
116,F,Road,3,4,176,3,high,M,36,1779,On Time,575069
117,A,Road,4,1,150,4,high,M,60,1024,On Time,493804
118,B,Road,4,3,265,2,medium,F,31,2326,On Time,573026
119,C,Road,2,5,263,3,low,F,5,2947,On Time,519730
120,F,Road,5,1,145,3,low,M,20,1387,On Time,572528
121,D,Road,4,2,183,3,low,F,33,2741,On Time,511864
122,F,Road,3,3,205,3,medium,F,19,2167,On Time,526028
123,A,Road,4,2,160,3,low,M,64,1714,On Time,C564956
124,B,Road,3,3,252,2,medium,F,48,2102,On Time,556237
125,C,Road,5,5,222,3,low,M,10,2280,On Time,552264
126,F,Road,3,3,203,2,low,M,25,3607,On Time,574253
127,D,Road,4,5,220,3,medium,M,40,3516,On Time,567383
128,F,Road,3,3,147,4,low,F,60,1722,On Time,517478
129,A,Road,4,4,200,4,medium,M,16,2060,On Time,566872
130,B,Road,4,5,224,4,medium,M,21,2026,On Time,495343
131,C,Road,3,5,179,2,low,F,17,1364,On Time,498444
132,F,Road,3,4,144,3,low,M,50,1865,On Time,507125
133,D,Flight,5,2,247,3,low,M,17,3889,On Time,509197
134,F,Flight,5,4,280,6,medium,F,51,3582,On Time,562264
135,A,Flight,3,3,168,2,medium,F,1,1829,On Time,543000
136,B,Flight,3,5,157,3,medium,F,4,1889,On Time,558475
137,C,Flight,3,3,189,4,medium,F,51,2208,On Time,512614
138,F,Flight,3,5,162,2,medium,M,7,1739,On Time,546096
139,D,Flight,4,1,207,5,low,M,48,2399,On Time,578153
140,F,Flight,5,1,237,2,low,F,10,3860,On Time,546780
141,A,Flight,4,4,264,3,high,M,59,2020,On Time,513188
142,B,Flight,5,4,149,3,low,M,51,1645,On Time,500023
143,C,Flight,5,5,162,3,low,M,41,1462,On Time,502829
144,F,Flight,2,1,205,4,medium,F,63,2156,On Time,566985
145,D,Flight,2,1,158,3,medium,F,51,1540,On Time,534705
146,F,Flight,2,2,248,2,low,M,46,3707,On Time,539738
147,A,Flight,3,5,191,3,low,M,23,3750,On Time,546977
148,B,Flight,4,3,146,4,medium,F,24,1844,On Time,560590
149,C,Flight,3,3,135,3,low,M,56,1490,On Time,524199
150,F,Flight,5,1,149,3,low,M,40,1062,On Time,496944
151,D,Flight,4,4,220,2,medium,F,7,2551,On Time,520334
152,F,Flight,5,3,98,5,medium,M,44,1269,On Time,574740
153,A,Flight,3,4,97,4,low,M,32,1238,On Time,553164
154,B,Flight,3,3,183,2,low,M,53,3932,On Time,523508
155,C,Ship,3,3,162,3,medium,F,8,1869,On Time,573339
156,F,Ship,5,1,114,4,low,F,47,1443,On Time,537823
157,D,Ship,6,3,275,5,low,M,41,2491,On Time,500256
158,F,Ship,3,2,203,2,medium,F,39,3845,On Time,577469
159,A,Ship,5,5,205,2,high,M,65,3671,On Time,512545
160,B,Ship,3,3,149,3,low,F,63,1946,On Time,526874
161,C,Ship,2,2,112,4,medium,M,56,1138,On Time,581217
162,F,Ship,3,1,207,3,medium,F,56,3482,On Time,579744
163,D,Ship,4,1,261,4,low,F,58,3427,On Time,539422
164,F,Ship,5,2,274,3,medium,M,6,3375,On Time,537640
165,A,Ship,3,5,141,2,low,M,52,1692,On Time,507694
166,B,Ship,3,3,166,4,medium,F,17,1498,On Time,552332
167,C,Ship,5,2,141,3,high,F,34,1020,On Time,555510
168,F,Ship,4,5,152,3,low,M,43,1709,On Time,531745
169,D,Ship,4,2,250,3,low,F,53,2478,On Time,573543
170,F,Ship,4,3,161,3,medium,F,28,1809,On Time,512077
171,A,Ship,4,3,185,3,medium,F,10,2263,On Time,541518
172,B,Ship,4,4,176,4,high,F,52,1096,On Time,494511
173,C,Ship,3,4,148,3,low,M,56,1550,On Time,557938
174,F,Ship,3,2,270,3,low,F,63,2751,On Time,551850
175,D,Ship,3,3,242,3,low,F,51,3935,On Time,542112
176,F,Ship,4,4,150,2,medium,M,3,1285,On Time,551775
177,A,Ship,4,5,192,3,high,M,20,3872,On Time,549023
178,B,Ship,4,5,116,3,medium,M,54,1314,On Time,562878
179,C,Ship,3,3,192,3,medium,F,2,3995,On Time,542617
180,F,Ship,5,5,255,4,medium,M,3,3440,On Time,522422
181,D,Ship,4,1,161,7,medium,F,18,1294,On Time,543507
182,F,Ship,4,5,157,3,low,M,20,1487,On Time,558616
183,A,Ship,3,2,164,10,high,F,28,1940,On Time,533127
184,B,Ship,3,5,162,7,medium,F,16,1052,On Time,514668
185,C,Ship,3,3,146,2,low,M,50,1486,On Time,581253
186,F,Ship,3,2,209,3,medium,M,54,3001,On Time,570187
187,D,Ship,5,4,134,2,medium,F,55,1386,On Time,576910
188,F,Ship,2,1,222,2,medium,M,5,3778,On Time,552322
189,A,Ship,2,5,139,3,low,F,27,1233,On Time,538942
190,B,Ship,2,4,134,3,low,F,42,1415,On Time,519600
191,C,Ship,2,5,130,3,low,M,16,1092,On Time,574629
192,F,Ship,2,5,133,3,low,F,62,1596,On Time,558638
193,D,Ship,2,4,140,3,low,F,7,1411,On Time,529604
194,F,Ship,2,2,158,3,low,M,28,1968,On Time,509945
195,A,Ship,4,2,270,4,low,F,46,1736,On Time,529586
196,B,Ship,2,5,140,3,low,F,30,1030,On Time,525520
197,C,Ship,2,2,135,3,low,M,15,1339,On Time,554367
198,F,Ship,2,3,136,3,low,F,19,1568,On Time,517985
199,D,Ship,2,3,142,3,medium,F,38,7640,On Time,549713
200,F,Ship,2,2,154,3,medium,M,38,7846,On Time,503061
201,A,Ship,2,3,139,3,low,M,9,1471,On Time,511132
